video_id,language_code,language,subtitle,chunk_id,text_chunk
L2GKmEH_gdg,id,Indonesian (auto-generated),Kedatangan Kylian Mbappé di Real Madrid,0,"Kylian Mbappé kembali menjadi sorotan karena gagal memberikan kontribusi besar. Mega bintang ini tidak berhasil mencetak gol dalam dua laga terakhir menghadapi Barcelona dan AC Milan. Selain itu, kehadiran Mbappé dinilai menghambat performa bintang"
L2GKmEH_gdg,id,Indonesian (auto-generated),Kedatangan Kylian Mbappé di Real Madrid,1,"AC Milan. Selain itu, kehadiran Mbappé dinilai menghambat performa bintang lainnya, seperti Vinicius Junior dan Jude Bellingham, yang mengalami penurunan. Dampak buruk kedatangan Mbappé sudah diprediksi oleh banyak pundit. Apakah kerusakan yang"
L2GKmEH_gdg,id,Indonesian (auto-generated),Kedatangan Kylian Mbappé di Real Madrid,2,kedatangan Mbappé sudah diprediksi oleh banyak pundit. Apakah kerusakan yang terjadi di Real Madrid setelah memboyong Kylian Mbappé juga terduga?
L2GKmEH_gdg,id,Indonesian (auto-generated),Kritik terhadap Mbappé,3,"Kedatangan Mbappé sempat mengguncang publik sepak bola dunia. Dia dianggap akan menjadi pemain sukses di Real Madrid dan bahkan siap membawa tim tersebut memenangkan setiap gelar musim ini. Namun, kedatangannya mendapatkan penolakan dari berbagai"
L2GKmEH_gdg,id,Indonesian (auto-generated),Kritik terhadap Mbappé,4,"setiap gelar musim ini. Namun, kedatangannya mendapatkan penolakan dari berbagai pihak. Salah satunya, Pedro Mijatovic, yang mengkritik kehadiran Mbappé karena dianggap bisa merusak suasana kondusif di ruang ganti. Real Madrid memiliki enam pemain"
L2GKmEH_gdg,id,Indonesian (auto-generated),Kritik terhadap Mbappé,5,"suasana kondusif di ruang ganti. Real Madrid memiliki enam pemain bintang, dan bagi seorang pelatih, ini bisa menjadi sangat merepotkan. Mijatovic menyatakan bahwa situasi bisa jadi rumit karena para pemain merasa satu sama lain harus bermain."
L2GKmEH_gdg,id,Indonesian (auto-generated),Dampak Negatif pada Pemain Lain,6,"Sejumlah kritik terhadap kedatangan Mbappé datang dari berbagai pihak. Iago Aspas, pemain asal Spanyol, memberikan ultimatum kepada Real Madrid, menyebut bahwa Mbappé tidak akan nyetel dengan gaya permainan tim. Di atas kertas, banyak pihak"
L2GKmEH_gdg,id,Indonesian (auto-generated),Dampak Negatif pada Pemain Lain,7,"nyetel dengan gaya permainan tim. Di atas kertas, banyak pihak berpendapat bahwa Real Madrid seharusnya dapat menghancurkan segalanya dengan kehadiran Mbappé, tetapi hal itu belum terbukti. Christophe Dugeri juga mengemukakan pendapat serupa,"
L2GKmEH_gdg,id,Indonesian (auto-generated),Dampak Negatif pada Pemain Lain,8,"hal itu belum terbukti. Christophe Dugeri juga mengemukakan pendapat serupa, menekankan bahwa meski Mbappé memiliki statistik dan gol penting, penampilannya tidak memenuhi ekspektasi."
L2GKmEH_gdg,id,Indonesian (auto-generated),Keterpurukan di Liga Champions,9,Banyak pihak memprediksi bahwa Mbappé mungkin hanya menjadi proyek gagal bagi Real Madrid. Belum ada tanda-tanda bahwa pemain ini menunjukkan kapasitas terbaiknya. Penampilan buruk Mbappé di El Clásico ikut mengecewakan publik dan membuatnya
L2GKmEH_gdg,id,Indonesian (auto-generated),Keterpurukan di Liga Champions,10,"buruk Mbappé di El Clásico ikut mengecewakan publik dan membuatnya terjebak offside sampai delapan kali, rekor buruk dalam kariernya. Penurunan performa yang tidak sesuai ekspektasi membuat fans geram, dan pemain berusia 25 tahun ini disebut sebagai"
L2GKmEH_gdg,id,Indonesian (auto-generated),Keterpurukan di Liga Champions,11,"fans geram, dan pemain berusia 25 tahun ini disebut sebagai faktor utama kekalahan tim. Kritikan juga menyebut Mbappé sebagai pemain yang malas karena kurang berkontribusi saat bertahan."
L2GKmEH_gdg,id,Indonesian (auto-generated),Kekalahan Melawan AC Milan,12,"Real Madrid kembali menelan hasil buruk kontra AC Milan di Santiago Bernabéu. Tim asuhan Carlo Ancelotti kalah 1-0, dan Alvaro Morata menjadi mimpi buruk bagi mantan timnya setelah mencetak gol. Hasil negatif ini memperpanjang rekor buruk Los"
L2GKmEH_gdg,id,Indonesian (auto-generated),Kekalahan Melawan AC Milan,13,"setelah mencetak gol. Hasil negatif ini memperpanjang rekor buruk Los Blancos di Liga Champions. Performanya yang kurang baik membuat Real Madrid semakin kesulitan untuk mempertahankan gelar, meskipun mereka diprediksi sebagai salah satu unggulan"
L2GKmEH_gdg,id,Indonesian (auto-generated),Kekalahan Melawan AC Milan,14,"untuk mempertahankan gelar, meskipun mereka diprediksi sebagai salah satu unggulan juara. Apakah kekalahan tersebut berhubungan dengan kurangnya kontribusi dari Mbappé?"
L2GKmEH_gdg,id,Indonesian (auto-generated),Kritik Terhadap Performa Individu,15,"Mbappé dinilai gagal memaksimalkan peluang saat melawan AC Milan, mencatatkan hanya delapan sepakan, dengan tiga di antaranya mengarah ke gawang. Carlo Ancelotti mengungkapkan kekecewaannya, menyatakan bahwa Mbappé seharusnya bisa mencetak gol,"
L2GKmEH_gdg,id,Indonesian (auto-generated),Kritik Terhadap Performa Individu,16,"Ancelotti mengungkapkan kekecewaannya, menyatakan bahwa Mbappé seharusnya bisa mencetak gol, mengingat banyak peluang yang dimiliki. Penurunan performa Jude Bellingham juga tercatat setelah kedatangan Mbappé. Mourinho sebelumnya telah memperingatkan"
L2GKmEH_gdg,id,Indonesian (auto-generated),Kritik Terhadap Performa Individu,17,Bellingham juga tercatat setelah kedatangan Mbappé. Mourinho sebelumnya telah memperingatkan bahwa kedatangan Mbappé akan mengubah gaya bermain dan mengurangi produktivitas Bellingham di lapangan.
L2GKmEH_gdg,id,Indonesian (auto-generated),Konflik di Ruang Ganti,18,"Perubahan gaya permainan setelah kedatangan Mbappé membuat Bellingham merasa frustasi, mengingat dia tidak dapat berkontribusi maksimal. Media melaporkan bahwa hubungan antara Mbappé dan Vinicius Junior sempat retak. Namun, Mbappé membantah anggapan"
L2GKmEH_gdg,id,Indonesian (auto-generated),Konflik di Ruang Ganti,19,"Mbappé dan Vinicius Junior sempat retak. Namun, Mbappé membantah anggapan tersebut, menyatakan bahwa hubungan mereka baik-baik saja. Meski begitu, di lapangan, keduanya terpantau sering bermain egois, yang merugikan tim. Ancelotti juga mengkritik"
